County,Asthma,Births,Children_In_Poverty,Communicable_Diseases,COPD_ED,Death_Age,Deaths,ED_Visits,Gini_Coefficient,Poor_Prenatal_Care,Population_2020,Race_White,Race_Black,Race_American_Indian,Race_Asian,Race_Native_Hawaiian,Race_Other,Race_2orMore,Teen_Mother,Under1500G_Birth,,,,,,,,,,,
Sussex 2016,"3,742","1,169",0.061,563,"1,580",73.4,"1,209","40,559",0.4,5,"144,221","121,879","3,088",336,"3,002",20,"4,469","11,427",17,13,,,,,,,,,,,
Sussex 2017,"3,356","1,200",0.061,780,"1,452",73.1,"1,247","38,226",0.4,3,"144,221","121,879","3,088",336,"3,002",20,"4,469","11,427",22,13,,,,,,,,,,,
Sussex 2018,"3,135","1,187",0.061,825,"1,443",74.5,"1,252","36,664",0.4,0,"144,221","121,879","3,088",336,"3,002",20,"4,469","11,427",12,4,,,,,,,,,,,
Sussex 2019,"3,438","1,180",0.061,828,"1,643",73.1,"1,311","37,895",0.4,2,"144,221","121,879","3,088",336,"3,002",20,"4,469","11,427",15,19,,,,,,,,,,,
Sussex 2020,"2,777","1,262",0.061,"6,779","1,159",74.4,"1,543","29,534",0.4,2,"144,221","121,879","3,088",336,"3,002",20,"4,469","11,427",15,10,,,,,,,,,,,
Union 2016,"12,029","6,748",0.124,"1,508","3,077",74.9,"3,947","202,383",0.49,16,"575,345","236,589","117,306","4,022","32,434",200,"105,583","79,211",222,92,,,,,,,,,,,
Union 2017,"10,582","6,847",0.124,"1,858","2,827",74.9,"3,963","197,615",0.49,12,"575,345","236,589","117,306","4,022","32,434",200,"105,583","79,211",214,69,,,,,,,,,,,
Union 2018,"11,016","6,762",0.124,"2,814","3,207",74.7,"4,087","187,676",0.49,24,"575,345","236,589","117,306","4,022","32,434",200,"105,583","79,211",207,107,,,,,,,,,,,
Union 2019,"13,119","6,623",0.124,"2,804","4,163",74.5,"3,981","196,185",0.49,33,"575,345","236,589","117,306","4,022","32,434",200,"105,583","79,211",213,95,,,,,,,,,,,
Union 2020,"8,859","6,337",0.124,"47,216","3,018",74.2,"5,801","137,513",0.49,16,"575,345","236,589","117,306","4,022","32,434",200,"105,583","79,211",189,75,,,,,,,,,,,
Warren 2016,"3,192",939,0.093,485,"1,641",74.3,"1,000","36,316",0.42,MISSING,"109,632","86,875","5,899",217,"2,934",35,"4,554","9,118",20,14,,,,,,,,,,,
Warren 2017,"2,852",911,0.093,828,"1,829",75,"1,047","37,843",0.42,MISSING,"109,632","86,875","5,899",217,"2,934",35,"4,554","9,118",21,9,,,,,,,,,,,
Warren 2018,"3,211",996,0.093,623,"1,799",74.9,"1,034","36,325",0.42,MISSING,"109,632","86,875","5,899",217,"2,934",35,"4,554","9,118",21,12,,,,,,,,,,,
Warren 2019,"3,521",941,0.093,762,"1,797",75.5,"1,033","37,022",0.42,MISSING,"109,632","86,875","5,899",217,"2,934",35,"4,554","9,118",24,11,,,,,,,,,,,
Warren 2020,"2,767",888,0.093,"5,866","1,407",75.6,"1,242","27,124",0.42,MISSING,"109,632","86,875","5,899",217,"2,934",35,"4,554","9,118",20,11,,,,,,,,,,,
